Date,PR,GHI,PR_MA30,Year,Month,Budget_PR,Above_Budget
2020-06-19,63.21001611,3.97175,74.18203732533333,2020,6,73.9,-10.689983890000008
2020-06-20,65.50143335,5.586458333,73.62118141966667,2020,6,73.9,-8.398566650000006
2020-06-21,60.59029075,3.6268,72.95159442166667,2020,6,73.9,-13.309709250000004
2020-06-22,71.52459314,5.206775,73.24409602066666,2020,6,73.9,-2.3754068600000124
2020-06-23,76.83622871,5.4909,73.07786516933334,2020,6,73.9,2.9362287099999946
2020-06-24,65.04704193,4.751008333,72.71554097100001,2020,6,73.9,-8.85295807
2020-06-25,70.15457285,3.24855,72.81521582699999,2020,6,73.9,-3.745427150000012
2020-06-26,74.3154578,5.469508333,72.772454447,2020,6,73.9,0.41545779999999866
2020-06-27,74.96356782,5.332758333,73.26642517466667,2020,6,73.9,1.0635678199999887
2020-06-28,77.37486539,3.041866667,73.24165025533334,2020,6,73.9,3.474865389999991
2020-06-29,70.47128212,2.168291667,73.11151316399999,2020,6,73.9,-3.4287178800000078
2020-06-30,65.03854779,2.612158333,72.64078189766668,2020,6,73.9,-8.86145221000001
2020-07-01,60.27022685,4.446141667,72.26530744899999,2020,7,73.3088,-13.038573150000005
2020-07-02,72.57201088,5.703241667,72.548159086,2020,7,73.3088,-0.7367891200000116
2020-07-03,60.52503388,4.314441667,71.88608755233334,2020,7,73.3088,-12.783766120000003
2020-07-04,69.59664044,5.0388,72.17856223466667,2020,7,73.3088,-3.7121595600000035
2020-07-05,61.4168444,3.555841667,71.71653812466667,2020,7,73.3088,-11.891955600000003
2020-07-06,60.63686397,3.430008333,71.06940453099999,2020,7,73.3088,-12.671936030000005
2020-07-07,70.1795035,5.052775,70.84355952166666,2020,7,73.3088,-3.1292965000000095
2020-07-08,70.98429495,4.669158333,70.635350137,2020,7,73.3088,-2.324505049999999
2020-07-09,62.52589819,4.819108333,70.67113783799999,2020,7,73.3088,-10.782901810000006
2020-07-10,79.04237853,5.808341667,70.620491386,2020,7,73.3088,5.733578529999988
2020-07-11,61.03987646,5.056216667,69.97209817899999,2020,7,73.3088,-12.268923540000003
2020-07-12,83.20947604,5.706333333,70.20910883,2020,7,73.3088,9.900676039999993
2020-07-13,79.82261729,5.080458333,70.23248307566668,2020,7,73.3088,6.5138172899999915
2020-07-14,83.21232225,6.802625,70.69658285199999,2020,7,73.3088,9.903522249999995
2020-07-15,82.87603269,6.373325,70.72683397133332,2020,7,73.3088,9.567232689999997
2020-07-16,84.72339623,3.385833333,70.971473788,2020,7,73.3088,11.41459623
2020-07-17,70.1763765,4.903241667,70.61780856966666,2020,7,73.3088,-3.1324235000000016
2020-07-18,63.41637107,3.602683333,70.37513539599999,2020,7,73.3088,-9.892428930000008
2020-07-19,74.51663485,5.185658333,70.75202268733334,2020,7,73.3088,1.2078348499999976
2020-07-20,61.60675397,4.802258333,70.62220004133333,2020,7,73.3088,-11.702046030000005
2020-07-21,74.38164019,3.878741667,71.08191168933332,2020,7,73.3088,1.0728401899999938
2020-07-22,68.78996992,5.033941667,70.990757582,2020,7,73.3088,-4.518830080000001
2020-07-23,80.34768649,5.238233333,71.10780617466666,2020,7,73.3088,7.038886489999996
2020-07-24,83.21377527,4.326291667,71.71336395266667,2020,7,73.3088,9.904975269999994
2020-07-25,63.95863352,5.342891667,71.50683264166668,2020,7,73.3088,-9.350166480000006
2020-07-26,74.81788739,4.191575,71.52358029466664,2020,7,73.3088,1.5090873899999906
2020-07-27,78.84769573,6.463783333,71.653051225,2020,7,73.3088,5.538895729999993
2020-07-28,73.53916359,4.672008333,71.52519449833333,2020,7,73.3088,0.23036358999999607
2020-07-29,84.27499891,5.826408333,71.98531839133334,2020,7,73.3088,10.966198909999989
2020-07-30,76.33637825,5.928366667,72.36191274,2020,7,73.3088,3.0275782499999906
2020-07-31,81.89387409,2.833108333,73.08270098133333,2020,7,73.3088,8.585074089999992
2020-08-01,60.48325108,4.023816667,72.67974232133334,2020,8,73.3088,-12.825548920000003
2020-08-02,75.23499646,3.128775,73.17007440733332,2020,8,73.3088,1.9261964599999999
2020-08-03,68.36815611,3.270375,73.12912492966667,2020,8,73.3088,-4.940643890000004
2020-08-04,66.82187004,3.911008333,73.30929245099999,2020,8,73.3088,-6.486929960000012
2020-08-05,78.12217834,4.348208333,73.89213626333334,2020,8,73.3088,4.81337834
2020-08-06,83.73038692,4.216683333,74.34383237733333,2020,8,73.3088,10.421586919999996
2020-08-07,83.80450831,4.42375,74.77117282266666,2020,8,73.3088,10.495708309999998
2020-08-08,67.59783611,4.228008333,74.94023742,2020,8,73.3088,-5.710963890000002
2020-08-09,66.90940439,3.826891667,74.53580494866668,2020,8,73.3088,-6.399395609999999
2020-08-10,70.68643663,4.77865,74.85735695433333,2020,8,73.3088,-2.622363370000002
2020-08-11,80.91626741,5.032291667,74.78091666666667,2020,8,73.3088,7.607467409999998
